date,display_name,price
2024-04-12,Asparagus,13.15
2024-04-19,Asparagus,11.78
2024-04-26,Asparagus,10.9
2024-05-03,Asparagus,11.46
2024-05-10,Asparagus,10.02
2024-05-17,Asparagus,8.52
2024-05-24,Asparagus,8.11
2024-05-31,Asparagus,8.35
2024-06-07,Asparagus,12.07
2024-06-14,Asparagus,11.51
2024-06-21,Asparagus,10.17
2024-06-28,Asparagus,12.17
2024-07-05,Asparagus,10.3
2024-07-12,Asparagus,10.3
2025-03-03,Asparagus,19.37
2025-03-17,Asparagus,18.58
2025-03-31,Asparagus,20.14
2025-04-14,Asparagus,16.43
2025-04-28,Asparagus,10.14
2025-05-12,Asparagus,7.77
2025-05-26,Asparagus,10.08
2025-06-09,Asparagus,11.39
2025-06-23,Asparagus,14.58
2015-01-09,Beetroot,0.34162599554992673
2015-01-16,Beetroot,0.3356450234748901
2015-01-23,Beetroot,0.3401475857804491
2015-01-30,Beetroot,0.34277213634716097
2015-02-06,Beetroot,0.3474030100137592
2015-02-13,Beetroot,0.35314785958756184
2015-02-20,Beetroot,0.34891941700785944
2015-02-27,Beetroot,0.32827003638242974
2015-03-06,Beetroot,0.32540052776282485
2015-03-13,Beetroot,0.33060297021950696
2015-03-20,Beetroot,0.3344814727236478
2015-03-27,Beetroot,0.341661076607253
2015-04-03,Beetroot,0.3398501367162218
2015-04-10,Beetroot,0.343369950642912
2015-04-17,Beetroot,0.33451355056390764
2015-04-24,Beetroot,0.3513591507381275
2015-05-01,Beetroot,0.35537164544869004
2015-05-08,Beetroot,0.36007084074908846
2015-05-15,Beetroot,0.3642613731539384
2015-05-22,Beetroot,0.3403267368291729
2015-05-29,Beetroot,0.35616821358822326
2015-06-05,Beetroot,0.3486513539371568
2015-06-12,Beetroot,0.34644067480596485
2015-06-19,Beetroot,0.3765292723743401
2015-06-26,Beetroot,0.34231638105827483
2015-07-03,Beetroot,0.3541456053982404
2015-07-10,Beetroot,0.38914449848142735
2015-07-17,Beetroot,0.39164975129510693
2015-07-24,Beetroot,0.3628227913745594
2015-07-31,Beetroot,0.38738366364666976
2015-08-07,Beetroot,0.39465366871646157
2015-08-14,Beetroot,0.3751328448347182
2015-08-21,Beetroot,0.36186428363634154
2015-08-28,Beetroot,0.37001701254673747
2015-09-04,Beetroot,0.367801600251703
2015-09-11,Beetroot,0.37446300120674736
2015-09-18,Beetroot,0.3780008953706749
2015-09-25,Beetroot,0.3842478962739202
2015-10-02,Beetroot,0.38097519582812467
2015-10-09,Beetroot,0.36346558961418257
2015-10-16,Beetroot,0.3529441065998431
2015-10-23,Beetroot,0.35601176310638943
2015-10-30,Beetroot,0.36161943920035605
2015-11-06,Beetroot,0.35665392586842654
2015-11-13,Beetroot,0.3435161756030574
2015-11-20,Beetroot,0.3489561531413329
2015-11-27,Beetroot,0.35122621895617717
2015-12-04,Beetroot,0.3579244545692074
2015-12-11,Beetroot,0.35650014623180976
2015-12-18,Beetroot,0.3711239852999421
2016-01-08,Beetroot,0.3711145839247778
2016-01-15,Beetroot,0.3647498529385189
2016-01-22,Beetroot,0.3610128063106934
2016-01-29,Beetroot,0.3622584885199685
2016-02-05,Beetroot,0.36216447476832514
2016-02-12,Beetroot,0.35076530738156175
2016-02-19,Beetroot,0.352509262474547
2016-02-26,Beetroot,0.3516114311463524
2016-03-04,Beetroot,0.35168194146008497
2016-03-11,Beetroot,0.34417024270377655
2016-03-18,Beetroot,0.35563051902910814
2016-03-25,Beetroot,0.34593535089088157
2016-04-01,Beetroot,0.34386704835472653
2016-04-08,Beetroot,0.3484831235604179
2016-04-15,Beetroot,0.3520438944039121
2016-04-22,Beetroot,0.34529605737970637
2016-04-29,Beetroot,0.34670156296677535
2016-05-06,Beetroot,0.3283517269390301
2016-05-13,Beetroot,0.34855965405298384
2016-05-20,Beetroot,0.3605294856140798
2016-05-27,Beetroot,0.3854973377287225
2016-06-03,Beetroot,0.3732660230401476
2016-06-10,Beetroot,0.34358129603065246
2016-06-17,Beetroot,0.3615368059304951
2016-06-24,Beetroot,0.3537882995627297
2016-07-01,Beetroot,0.3826960942624031
2016-07-08,Beetroot,0.37793528160650713
2016-07-15,Beetroot,0.3716066483531906
2016-07-22,Beetroot,0.3599595862156316
2016-07-29,Beetroot,0.3767994105415695
2016-08-05,Beetroot,0.3729658456974052
2016-08-12,Beetroot,0.38588637906107026
2016-08-19,Beetroot,0.38218940386837147
2016-08-26,Beetroot,0.36445605996463326
2016-09-02,Beetroot,0.35373942495339217
2016-09-09,Beetroot,0.3374831178068496
2016-09-16,Beetroot,0.3620877680936888
2016-09-23,Beetroot,0.35053088348135997
2016-09-30,Beetroot,0.35415071815908467
2016-10-07,Beetroot,0.35208107256933463
2016-10-14,Beetroot,0.36798175879493317
2016-10-21,Beetroot,0.37211286955708217
2016-10-28,Beetroot,0.3717202095242443
2016-11-04,Beetroot,0.35932687723779716
2016-11-11,Beetroot,0.3615539958615498
2016-11-18,Beetroot,0.3615539958615498
2016-11-25,Beetroot,0.3453690401330113
2016-12-02,Beetroot,0.34759615875676403
2016-12-09,Beetroot,0.3482178704754241
2016-12-16,Beetroot,0.3496903455985663
2017-01-06,Beetroot,0.3641615279772748
2017-01-13,Beetroot,0.3641615279772748
2017-01-20,Beetroot,0.35816937187150777
2017-01-27,Beetroot,0.3551589780873135
2017-02-03,Beetroot,0.37038365150243396
2017-02-10,Beetroot,0.37167634067302757
2017-02-17,Beetroot,0.3745751423450005
2017-02-24,Beetroot,0.37208662465715914
2017-03-03,Beetroot,0.371026454020093
2017-03-10,Beetroot,0.3669543341672617
2017-03-17,Beetroot,0.3678326345276763
2017-03-24,Beetroot,0.371518834525174
2017-03-31,Beetroot,0.37435334932469383
2017-04-07,Beetroot,0.37828352164452883
2017-04-14,Beetroot,0.3748916111918859
2017-04-21,Beetroot,0.3765039471392082
2017-04-28,Beetroot,0.3776274115456513
