model,term,estimate,std_err,t_stat,p_value,conf_lo,conf_hi,significant
Pears — Full xreg,fuel_diesel_price,0.002933,0.005044,0.5815,0.5609,-0.006954,0.01282,FALSE
Pears — Full xreg,sppi_road_freight,0.010537,0.006123,1.721,0.0853,-0.001463,0.022538,FALSE
Pears — Full xreg,shock_2021q4_2023q1,-0.041804,0.132901,-0.3145,0.7531,-0.30229,0.218682,FALSE
Pears — Full xreg,post_shock,-0.076781,0.165586,-0.4637,0.6429,-0.40133,0.247768,FALSE
Pears — Dummies only,ar1,0.756159,0.068176,11.0913,0,0.622534,0.889784,TRUE
Pears — Dummies only,ma1,-1.125389,0.093485,-12.0382,0,-1.30862,-0.942159,TRUE
Pears — Dummies only,ma2,0.302076,0.087719,3.4437,6e-4,0.130147,0.474006,TRUE
Pears — Dummies only,ma3,-0.081235,0.081952,-0.9912,0.3216,-0.241861,0.079392,FALSE
Pears — Dummies only,ma4,-0.095334,0.065404,-1.4576,0.1449,-0.223525,0.032858,FALSE
Pears — Dummies only,shock_2021q4_2023q1,0.174067,0.082221,2.1171,0.0343,0.012913000000000001,0.33522,TRUE
Pears — Dummies only,post_shock,0.264071,0.093798,2.8153,0.0049,0.080227,0.447915,TRUE
Dessert Apples — Full xreg,ar1,0.837404,0.039559,21.1684,0,0.759868,0.91494,TRUE
Dessert Apples — Full xreg,ma1,-1.209921,0.066267,-18.2582,0,-1.339805,-1.080038,TRUE
Dessert Apples — Full xreg,ma2,0.209922,0.065939,3.1836,0.0015,0.080681,0.339162,TRUE
Dessert Apples — Full xreg,api_energy_and_lubricants,0.002167,0.002125,1.02,0.3077,-0.001997,0.006331,FALSE
Dessert Apples — Full xreg,api_fertilisers_and_soil_improvers,-9.39e-4,6.76e-4,-1.3903,0.1644,-0.002264,3.85e-4,FALSE
Dessert Apples — Full xreg,api_plant_protection_products,0.006974,0.002575,2.709,0.0067,0.001928,0.01202,TRUE
Dessert Apples — Full xreg,api_fresh_fruit,5.64e-4,0.001097,0.5142,0.6071,-0.001585,0.002713,FALSE
Dessert Apples — Full xreg,api_fresh_vegetables,1.64e-4,0.002236,0.0734,0.9415,-0.004218,0.004547,FALSE
Dessert Apples — Full xreg,fuel_petrol_price,0.005028,0.004058,1.239,0.2154,-0.002926,0.012983,FALSE
Dessert Apples — Full xreg,fuel_diesel_price,-0.004292,0.002847,-1.5075,0.1317,-0.009873,0.001288,FALSE
Dessert Apples — Full xreg,sppi_road_freight,-0.001079,0.003574,-0.302,0.7626,-0.008084,0.005925,FALSE
Dessert Apples — Full xreg,shock_2021q4_2023q1,0.046682,0.076213,0.6125,0.5402,-0.102696,0.196061,FALSE
Dessert Apples — Full xreg,post_shock,0.107185,0.09322,1.1498,0.2502,-0.075527,0.289897,FALSE
Dessert Apples — Dummies only,ar1,0.842158,0.04656,18.0875,0,0.7509,0.933416,TRUE
Dessert Apples — Dummies only,ma1,-1.22396,0.075274,-16.26,0,-1.371498,-1.076422,TRUE
Dessert Apples — Dummies only,ma2,0.243292,0.069515,3.4998,5e-4,0.107043,0.379542,TRUE
Dessert Apples — Dummies only,shock_2021q4_2023q1,0.094587,0.069835,1.3544,0.1756,-0.042289,0.231463,FALSE
Dessert Apples — Dummies only,post_shock,0.192332,0.096308,1.9971,0.0458,0.003569,0.381095,TRUE
Cucumbers — Full xreg,ar1,0.658733,0.054516,12.0833,0,0.551881,0.765584,TRUE
Cucumbers — Full xreg,ar2,-0.225339,0.064784,-3.4783,5e-4,-0.352315,-0.098362,TRUE
Cucumbers — Full xreg,ar3,0.232891,0.063876,3.646,3e-4,0.107694,0.358088,TRUE
Cucumbers — Full xreg,ar4,-0.110016,0.054765,-2.0089,0.0445,-0.217355,-0.002677,TRUE
