predictor,best_lag,best_f_stat,best_p_value,significant,commodity,target_d_order,pred_d_order,granger_causes_target
fuel_diesel_price,1,0.0147,0.9036,FALSE,Cooking Apples,0,1,FALSE
fuel_petrol_price,1,0.0027,0.9583,FALSE,Cooking Apples,0,1,FALSE
fuel_diesel_price,4,16.0881,0,TRUE,Cucumbers,0,1,TRUE
fuel_petrol_price,4,15.8862,0,TRUE,Cucumbers,0,1,TRUE
api_fresh_fruit,3,2.7281,0.0441,TRUE,Cucumbers,0,1,TRUE
api_energy_and_lubricants,3,2.3318,0.0741,FALSE,Cucumbers,0,1,FALSE
api_fertilisers_and_soil_improvers,3,1.749,0.1568,FALSE,Cucumbers,0,1,FALSE
sppi_road_freight,8,1.2618,0.2632,FALSE,Cucumbers,0,1,FALSE
api_plant_protection_products,3,0.7115,0.5457,FALSE,Cucumbers,0,1,FALSE
api_fresh_vegetables,2,0.5629,0.5701,FALSE,Cucumbers,0,1,FALSE
api_fresh_vegetables,1,5.2609,0.0225,TRUE,Curly kale,0,1,TRUE
api_plant_protection_products,5,2.5717,0.027,TRUE,Curly kale,0,1,TRUE
api_fresh_fruit,1,1.8085,0.1797,FALSE,Curly kale,0,1,FALSE
fuel_petrol_price,2,1.0246,0.3602,FALSE,Curly kale,0,1,FALSE
sppi_road_freight,2,0.9817,0.3759,FALSE,Curly kale,0,1,FALSE
api_energy_and_lubricants,5,1.0344,0.3975,FALSE,Curly kale,0,1,FALSE
fuel_diesel_price,6,0.9917,0.4311,FALSE,Curly kale,0,1,FALSE
api_fertilisers_and_soil_improvers,4,0.7425,0.5637,FALSE,Curly kale,0,1,FALSE
sppi_road_freight,2,2.7952,0.0623,FALSE,Dessert Apples,0,1,FALSE
api_plant_protection_products,1,2.8602,0.0916,FALSE,Dessert Apples,0,1,FALSE
api_energy_and_lubricants,3,1.9843,0.1158,FALSE,Dessert Apples,0,1,FALSE
api_fertilisers_and_soil_improvers,3,1.5596,0.1987,FALSE,Dessert Apples,0,1,FALSE
fuel_diesel_price,2,0.8455,0.4301,FALSE,Dessert Apples,0,1,FALSE
fuel_petrol_price,2,0.617,0.5401,FALSE,Dessert Apples,0,1,FALSE
api_fresh_fruit,8,0.8637,0.5473,FALSE,Dessert Apples,0,1,FALSE
api_fresh_vegetables,1,0.0373,0.847,FALSE,Dessert Apples,0,1,FALSE
api_fresh_fruit,1,11.7472,7e-4,TRUE,Leeks,0,0,TRUE
api_energy_and_lubricants,8,1.7172,0.0926,FALSE,Leeks,0,1,FALSE
api_plant_protection_products,4,1.4827,0.2065,FALSE,Leeks,0,1,FALSE
api_fertilisers_and_soil_improvers,8,1.1071,0.3572,FALSE,Leeks,0,1,FALSE
api_fresh_vegetables,4,0.9156,0.4547,FALSE,Leeks,0,1,FALSE
fuel_petrol_price,1,0.4095,0.5226,FALSE,Leeks,0,1,FALSE
fuel_diesel_price,1,0.1464,0.7022,FALSE,Leeks,0,1,FALSE
sppi_road_freight,2,0.1204,0.8866,FALSE,Leeks,0,1,FALSE
api_fresh_vegetables,1,5.5581,0.0188,TRUE,Lettuce,0,1,TRUE
fuel_diesel_price,1,5.396,0.0206,TRUE,Lettuce,0,1,TRUE
fuel_petrol_price,1,4.8056,0.0289,TRUE,Lettuce,0,1,TRUE
api_plant_protection_products,5,1.2758,0.2733,FALSE,Lettuce,0,1,FALSE
api_fertilisers_and_soil_improvers,8,1.2159,0.2879,FALSE,Lettuce,0,1,FALSE
api_energy_and_lubricants,2,0.6483,0.5234,FALSE,Lettuce,0,1,FALSE
api_fresh_fruit,7,0.6836,0.686,FALSE,Lettuce,0,1,FALSE
sppi_road_freight,1,0.0398,0.8419,FALSE,Lettuce,0,1,FALSE
sppi_road_freight,8,2.2872,0.0219,TRUE,Pak choi,0,1,TRUE
api_fresh_fruit,6,2.0344,0.0612,FALSE,Pak choi,0,1,FALSE
api_fresh_vegetables,5,1.5229,0.1825,FALSE,Pak choi,0,1,FALSE
api_energy_and_lubricants,1,1.7381,0.1884,FALSE,Pak choi,0,1,FALSE
api_plant_protection_products,4,1.3965,0.2352,FALSE,Pak choi,0,1,FALSE
api_fertilisers_and_soil_improvers,1,1.1125,0.2924,FALSE,Pak choi,0,1,FALSE
fuel_diesel_price,1,0.2982,0.5854,FALSE,Pak choi,0,1,FALSE
fuel_petrol_price,2,0.3905,0.6771,FALSE,Pak choi,0,1,FALSE
api_energy_and_lubricants,2,3.3817,0.0352,TRUE,Pears,0,1,TRUE
api_fresh_fruit,1,3.8421,0.0508,FALSE,Pears,0,0,FALSE
fuel_petrol_price,1,2.7603,0.0976,FALSE,Pears,0,1,FALSE
fuel_diesel_price,2,1.9124,0.1494,FALSE,Pears,0,1,FALSE
api_plant_protection_products,5,1.3159,0.2569,FALSE,Pears,0,1,FALSE
api_fertilisers_and_soil_improvers,1,0.9154,0.3394,FALSE,Pears,0,1,FALSE
sppi_road_freight,1,0.5711,0.4504,FALSE,Pears,0,1,FALSE
api_fresh_vegetables,3,0.2152,0.8859,FALSE,Pears,0,1,FALSE
fuel_petrol_price,2,1.2539,0.2869,FALSE,Spring greens,0,1,FALSE
api_fresh_fruit,8,1.1721,0.316,FALSE,Spring greens,0,1,FALSE
fuel_diesel_price,2,0.9781,0.3772,FALSE,Spring greens,0,1,FALSE
api_energy_and_lubricants,8,0.9089,0.5094,FALSE,Spring greens,0,1,FALSE
api_plant_protection_products,1,0.2205,0.639,FALSE,Spring greens,0,1,FALSE
api_fertilisers_and_soil_improvers,1,0.1622,0.6874,FALSE,Spring greens,0,1,FALSE
sppi_road_freight,2,0.1453,0.8648,FALSE,Spring greens,0,1,FALSE
api_fresh_vegetables,4,0.1018,0.9818,FALSE,Spring greens,0,1,FALSE
sppi_road_freight,1,34.7307,0,TRUE,Strawberries,0,1,TRUE
fuel_diesel_price,4,3.0954,0.0163,TRUE,Strawberries,0,1,TRUE
fuel_petrol_price,5,2.2266,0.052,FALSE,Strawberries,0,1,FALSE
api_fresh_vegetables,7,1.2237,0.2898,FALSE,Strawberries,0,1,FALSE
api_fresh_fruit,8,0.9721,0.4582,FALSE,Strawberries,0,1,FALSE
api_energy_and_lubricants,2,0.6209,0.5382,FALSE,Strawberries,0,1,FALSE
api_plant_protection_products,1,0.2977,0.5858,FALSE,Strawberries,0,1,FALSE
api_fertilisers_and_soil_improvers,2,0.526,0.5916,FALSE,Strawberries,0,1,FALSE
fuel_petrol_price,5,6.7935,0,TRUE,Tomatoes (Round),0,1,TRUE
fuel_diesel_price,5,4.5618,5e-4,TRUE,Tomatoes (Round),0,1,TRUE
api_fertilisers_and_soil_improvers,8,1.7924,0.0785,FALSE,Tomatoes (Round),0,1,FALSE
sppi_road_freight,2,2.1975,0.113,FALSE,Tomatoes (Round),0,1,FALSE
api_energy_and_lubricants,8,1.3043,0.2411,FALSE,Tomatoes (Round),0,1,FALSE
api_fresh_fruit,1,0.4905,0.4843,FALSE,Tomatoes (Round),0,1,FALSE
