predictor,lag,f_stat,p_value,significant,commodity,target_d_order,pred_d_order
api_fertilisers_and_soil_improvers,8,0.4138,0.9126,FALSE,Bulb Onions (Red),0,1
api_plant_protection_products,1,1.5557,0.213,FALSE,Bulb Onions (Red),0,1
api_plant_protection_products,2,0.8283,0.4375,FALSE,Bulb Onions (Red),0,1
api_plant_protection_products,3,1.9495,0.121,FALSE,Bulb Onions (Red),0,1
api_plant_protection_products,4,1.8156,0.1249,FALSE,Bulb Onions (Red),0,1
api_plant_protection_products,5,1.6398,0.1483,FALSE,Bulb Onions (Red),0,1
api_plant_protection_products,6,1.325,0.2447,FALSE,Bulb Onions (Red),0,1
api_plant_protection_products,7,1.3245,0.237,FALSE,Bulb Onions (Red),0,1
api_plant_protection_products,8,1.1928,0.3018,FALSE,Bulb Onions (Red),0,1
api_fresh_fruit,1,0.616,0.433,FALSE,Bulb Onions (Red),0,1
api_fresh_fruit,2,0.9808,0.3759,FALSE,Bulb Onions (Red),0,1
api_fresh_fruit,3,0.6737,0.5685,FALSE,Bulb Onions (Red),0,1
api_fresh_fruit,4,0.7675,0.5468,FALSE,Bulb Onions (Red),0,1
api_fresh_fruit,5,0.6567,0.6565,FALSE,Bulb Onions (Red),0,1
api_fresh_fruit,6,0.5771,0.7486,FALSE,Bulb Onions (Red),0,1
api_fresh_fruit,7,0.5475,0.7982,FALSE,Bulb Onions (Red),0,1
api_fresh_fruit,8,1.3939,0.1972,FALSE,Bulb Onions (Red),0,1
api_fresh_vegetables,1,0.019,0.8905,FALSE,Bulb Onions (Red),0,1
api_fresh_vegetables,2,0.4388,0.6451,FALSE,Bulb Onions (Red),0,1
api_fresh_vegetables,3,0.2786,0.8409,FALSE,Bulb Onions (Red),0,1
api_fresh_vegetables,4,0.2458,0.9121,FALSE,Bulb Onions (Red),0,1
api_fresh_vegetables,5,0.1834,0.9688,FALSE,Bulb Onions (Red),0,1
api_fresh_vegetables,6,0.1964,0.9777,FALSE,Bulb Onions (Red),0,1
api_fresh_vegetables,7,0.2573,0.9697,FALSE,Bulb Onions (Red),0,1
api_fresh_vegetables,8,0.2975,0.9666,FALSE,Bulb Onions (Red),0,1
fuel_petrol_price,1,0.0475,0.8276,FALSE,Bulb Onions (Red),0,1
fuel_petrol_price,2,0.0382,0.9625,FALSE,Bulb Onions (Red),0,1
fuel_petrol_price,3,0.2544,0.8582,FALSE,Bulb Onions (Red),0,1
fuel_petrol_price,4,0.4031,0.8064,FALSE,Bulb Onions (Red),0,1
fuel_petrol_price,5,0.6542,0.6584,FALSE,Bulb Onions (Red),0,1
fuel_petrol_price,6,0.5905,0.738,FALSE,Bulb Onions (Red),0,1
fuel_petrol_price,7,0.7296,0.647,FALSE,Bulb Onions (Red),0,1
fuel_petrol_price,8,0.6372,0.7465,FALSE,Bulb Onions (Red),0,1
fuel_diesel_price,1,7e-4,0.9782,FALSE,Bulb Onions (Red),0,1
fuel_diesel_price,2,0.0065,0.9935,FALSE,Bulb Onions (Red),0,1
fuel_diesel_price,3,0.4028,0.7511,FALSE,Bulb Onions (Red),0,1
fuel_diesel_price,4,0.5357,0.7096,FALSE,Bulb Onions (Red),0,1
fuel_diesel_price,5,0.6702,0.6463,FALSE,Bulb Onions (Red),0,1
fuel_diesel_price,6,0.5708,0.7536,FALSE,Bulb Onions (Red),0,1
fuel_diesel_price,7,0.6958,0.6756,FALSE,Bulb Onions (Red),0,1
fuel_diesel_price,8,0.622,0.7595,FALSE,Bulb Onions (Red),0,1
sppi_road_freight,1,0.0633,0.8014,FALSE,Bulb Onions (Red),0,1
sppi_road_freight,2,0.1432,0.8666,FALSE,Bulb Onions (Red),0,1
sppi_road_freight,3,0.0776,0.9721,FALSE,Bulb Onions (Red),0,1
sppi_road_freight,4,0.041,0.9968,FALSE,Bulb Onions (Red),0,1
sppi_road_freight,5,0.0542,0.9981,FALSE,Bulb Onions (Red),0,1
sppi_road_freight,6,0.068,0.9988,FALSE,Bulb Onions (Red),0,1
sppi_road_freight,7,0.0578,0.9997,FALSE,Bulb Onions (Red),0,1
sppi_road_freight,8,0.0989,0.9992,FALSE,Bulb Onions (Red),0,1
api_energy_and_lubricants,1,0.2263,0.6345,FALSE,Bulb Onions (Yellow),0,1
api_energy_and_lubricants,2,0.2792,0.7565,FALSE,Bulb Onions (Yellow),0,1
api_energy_and_lubricants,3,0.2098,0.8896,FALSE,Bulb Onions (Yellow),0,1
api_energy_and_lubricants,4,0.2259,0.9239,FALSE,Bulb Onions (Yellow),0,1
api_energy_and_lubricants,5,0.211,0.9578,FALSE,Bulb Onions (Yellow),0,1
api_energy_and_lubricants,6,0.1758,0.9833,FALSE,Bulb Onions (Yellow),0,1
api_energy_and_lubricants,7,0.15,0.9939,FALSE,Bulb Onions (Yellow),0,1
api_energy_and_lubricants,8,0.1292,0.998,FALSE,Bulb Onions (Yellow),0,1
api_fertilisers_and_soil_improvers,1,1.1217,0.2901,FALSE,Bulb Onions (Yellow),0,1
api_fertilisers_and_soil_improvers,2,0.5577,0.5729,FALSE,Bulb Onions (Yellow),0,1
api_fertilisers_and_soil_improvers,3,0.3602,0.7818,FALSE,Bulb Onions (Yellow),0,1
api_fertilisers_and_soil_improvers,4,0.4115,0.8004,FALSE,Bulb Onions (Yellow),0,1
api_fertilisers_and_soil_improvers,5,0.4164,0.8374,FALSE,Bulb Onions (Yellow),0,1
api_fertilisers_and_soil_improvers,6,0.389,0.8861,FALSE,Bulb Onions (Yellow),0,1
