model,term,estimate,std_err,t_stat,p_value,conf_lo,conf_hi,significant
Bulb Onions (Yellow) — Dummies only,shock_2021q4_2023q1,-0.003435,0.068743,-0.05,0.9602,-0.138171,0.131301,FALSE
Bulb Onions (Yellow) — Dummies only,post_shock,0.062854,0.097299,0.646,0.5183,-0.127851,0.253559,FALSE
Cabbage — Full xreg,ar1,0.298806,0.16189,1.8457,0.0649,-0.018499,0.61611,FALSE
Cabbage — Full xreg,ar2,0.07406,0.04993,1.4833,0.138,-0.023803,0.171923,FALSE
Cabbage — Full xreg,ar3,0.186142,0.052348,3.5559,4e-4,0.08354,0.288744,TRUE
Cabbage — Full xreg,ma1,-0.383051,0.162486,-2.3574,0.0184,-0.701523,-0.064579,TRUE
Cabbage — Full xreg,api_energy_and_lubricants,0.001276,8.74e-4,1.4593,0.1445,-4.38e-4,0.00299,FALSE
Cabbage — Full xreg,api_fertilisers_and_soil_improvers,-2.09e-4,2.82e-4,-0.7411,0.4586,-7.63e-4,3.44e-4,FALSE
Cabbage — Full xreg,api_plant_protection_products,-2.98e-4,0.00142,-0.2102,0.8335,-0.003081,0.002484,FALSE
Cabbage — Full xreg,api_fresh_fruit,-1.4e-4,4.41e-4,-0.3171,0.7512,-0.001004,7.24e-4,FALSE
Cabbage — Full xreg,api_fresh_vegetables,-0.001337,8.98e-4,-1.4889,0.1365,-0.003097,4.23e-4,FALSE
Cabbage — Full xreg,fuel_petrol_price,-0.002583,0.001671,-1.5464,0.122,-0.005858,6.91e-4,FALSE
Cabbage — Full xreg,fuel_diesel_price,0.001722,0.001158,1.4876,0.1369,-5.47e-4,0.003991,FALSE
Cabbage — Full xreg,sppi_road_freight,-0.001076,0.00164,-0.6563,0.5117,-0.004291,0.002138,FALSE
Cabbage — Full xreg,shock_2021q4_2023q1,-0.011167,0.034031,-0.3281,0.7428,-0.077868,0.055534,FALSE
Cabbage — Full xreg,post_shock,0.023589,0.046164,0.511,0.6094,-0.066893,0.114072,FALSE
Cabbage — Dummies only,ar1,0.292404,0.171865,1.7014,0.0889,-0.044452,0.62926,FALSE
Cabbage — Dummies only,ar2,0.084075,0.049673,1.6926,0.0905,-0.013284,0.181434,FALSE
Cabbage — Dummies only,ar3,0.170906,0.051474,3.3202,9e-4,0.070016,0.271795,TRUE
Cabbage — Dummies only,ma1,-0.389279,0.171997,-2.2633,0.0236,-0.726393,-0.052165,TRUE
Cabbage — Dummies only,shock_2021q4_2023q1,0.009455,0.031255,0.3025,0.7623,-0.051805,0.070716,FALSE
Cabbage — Dummies only,post_shock,0.045401,0.044383,1.0229,0.3063,-0.041589,0.132391,FALSE
Carrots — Full xreg,ma1,-0.066536,0.050157,-1.3266,0.1847,-0.164843,0.031771,FALSE
Carrots — Full xreg,ma2,-0.077606,0.047456,-1.6353,0.102,-0.17062,0.015409,FALSE
Carrots — Full xreg,ma3,0.09117,0.046552,1.9584,0.0502,-7.3e-5,0.182412,FALSE
Carrots — Full xreg,ma4,0.061286,0.047684,1.2852,0.1987,-0.032175,0.154747,FALSE
Carrots — Full xreg,ma5,0.187089,0.046772,4,1e-4,0.095416,0.278763,TRUE
Carrots — Full xreg,api_energy_and_lubricants,-4.97e-4,9.43e-4,-0.5274,0.5979,-0.002345,0.00135,FALSE
Carrots — Full xreg,api_fertilisers_and_soil_improvers,2.89e-4,2.97e-4,0.9758,0.3292,-2.92e-4,8.71e-4,FALSE
Carrots — Full xreg,api_plant_protection_products,-1.9e-4,0.001446,-0.1313,0.8955,-0.003023,0.002644,FALSE
Carrots — Full xreg,api_fresh_fruit,-3.4e-5,4.5e-4,-0.0745,0.9406,-9.15e-4,8.48e-4,FALSE
Carrots — Full xreg,api_fresh_vegetables,-0.001167,9.21e-4,-1.2664,0.2054,-0.002972,6.39e-4,FALSE
Carrots — Full xreg,fuel_petrol_price,-0.002982,0.00175,-1.7043,0.0883,-0.006411,4.47e-4,FALSE
Carrots — Full xreg,fuel_diesel_price,0.002088,0.001198,1.743,0.0813,-2.6e-4,0.004436,FALSE
Carrots — Full xreg,sppi_road_freight,2.67e-4,0.001665,0.1605,0.8725,-0.002996,0.00353,FALSE
Carrots — Full xreg,shock_2021q4_2023q1,-0.009807,0.034768,-0.2821,0.7779,-0.077953,0.058339,FALSE
Carrots — Full xreg,post_shock,-0.051612,0.047403,-1.0888,0.2762,-0.144521,0.041297,FALSE
Carrots — Dummies only,ma1,-0.074266,0.047354,-1.5683,0.1168,-0.167079,0.018547,FALSE
Carrots — Dummies only,ma2,-0.074867,0.047288,-1.5832,0.1134,-0.167551,0.017817,FALSE
Carrots — Dummies only,ma3,0.080467,0.046045,1.7475,0.0805,-0.009783,0.170716,FALSE
Carrots — Dummies only,ma4,0.052959,0.047506,1.1148,0.2649,-0.040153,0.146071,FALSE
Carrots — Dummies only,ma5,0.168263,0.045201,3.7226,2e-4,0.07967,0.256856,TRUE
Carrots — Dummies only,shock_2021q4_2023q1,7.91e-4,0.032007,0.0247,0.9803,-0.061942,0.063525,FALSE
Carrots — Dummies only,post_shock,-0.037183,0.045565,-0.816,0.4145,-0.12649,0.052124,FALSE
Cooking Apples — Full xreg,ar1,-0.243871,0.046445,-5.2508,0,-0.334903,-0.152839,TRUE
Cooking Apples — Full xreg,api_energy_and_lubricants,9.75e-4,0.004085,0.2387,0.8113,-0.007032,0.008983,FALSE
Cooking Apples — Full xreg,api_fertilisers_and_soil_improvers,-1.59e-4,0.001305,-0.1218,0.9031,-0.002717,0.002399,FALSE
Cooking Apples — Full xreg,api_plant_protection_products,-0.002948,0.006584,-0.4477,0.6544,-0.015853,0.009958,FALSE
Cooking Apples — Full xreg,api_fresh_fruit,2.48e-4,0.002053,0.121,0.9037,-0.003776,0.004272,FALSE
Cooking Apples — Full xreg,api_fresh_vegetables,-0.001034,0.004197,-0.2462,0.8055,-0.009261,0.007194,FALSE
Cooking Apples — Full xreg,fuel_petrol_price,-0.001713,0.007698,-0.2225,0.8239,-0.016802,0.013376,FALSE
Cooking Apples — Full xreg,fuel_diesel_price,0.001504,0.005344,0.2814,0.7784,-0.008971,0.011979,FALSE
Cooking Apples — Full xreg,sppi_road_freight,0.004685,0.007594,0.617,0.5373,-0.010199,0.019569,FALSE
Cooking Apples — Full xreg,shock_2021q4_2023q1,0.130504,0.160877,0.8112,0.4172,-0.184815,0.445822,FALSE
Cooking Apples — Full xreg,post_shock,0.149392,0.216552,0.6899,0.4903,-0.27505,0.573835,FALSE
Cooking Apples — Dummies only,ar1,-0.245158,0.046122,-5.3154,0,-0.335558,-0.154759,TRUE
Cooking Apples — Dummies only,shock_2021q4_2023q1,0.138777,0.1462,0.9492,0.3425,-0.147776,0.425329,FALSE
Cooking Apples — Dummies only,post_shock,0.156543,0.20607,0.7597,0.4475,-0.247354,0.56044,FALSE
Leeks — Full xreg,ma1,-0.319597,0.051381,-6.2202,0,-0.420304,-0.218891,TRUE
Leeks — Full xreg,ma2,-0.01448,0.045307,-0.3196,0.7493,-0.103281,0.074321,FALSE
Leeks — Full xreg,ma3,-0.160949,0.051692,-3.1136,0.0018,-0.262266,-0.059633,TRUE
Leeks — Full xreg,api_energy_and_lubricants,0.001254,0.003145,0.3989,0.69,-0.004909,0.007418,FALSE
Leeks — Full xreg,api_fertilisers_and_soil_improvers,1.47e-4,0.001006,0.1462,0.8837,-0.001825,0.002119,FALSE
Leeks — Full xreg,api_plant_protection_products,0.001095,0.005071,0.2159,0.8291,-0.008844,0.011034,FALSE
Leeks — Full xreg,api_fresh_fruit,-0.002874,0.001584,-1.8147,0.0696,-0.005978,2.3e-4,FALSE
Leeks — Full xreg,api_fresh_vegetables,0.002934,0.00328,0.8944,0.3711,-0.003496,0.009363,FALSE
Leeks — Full xreg,fuel_petrol_price,0.001418,0.005968,0.2376,0.8122,-0.01028,0.013116,FALSE
Leeks — Full xreg,fuel_diesel_price,-1.33e-4,0.004144,-0.0321,0.9744,-0.008255,0.00799,FALSE
Leeks — Full xreg,sppi_road_freight,-0.001125,0.005836,-0.1927,0.8472,-0.012564,0.010314,FALSE
Leeks — Full xreg,shock_2021q4_2023q1,-0.052516,0.122981,-0.427,0.6694,-0.293558,0.188526,FALSE
Leeks — Full xreg,post_shock,-0.078879,0.165911,-0.4754,0.6345,-0.404065,0.246306,FALSE
Leeks — Dummies only,ma1,-0.297377,0.050063,-5.9401,0,-0.395501,-0.199254,TRUE
Leeks — Dummies only,ma2,-0.009324,0.04478,-0.2082,0.8351,-0.097094,0.078445,FALSE
Leeks — Dummies only,ma3,-0.164281,0.050334,-3.2638,0.0011,-0.262936,-0.065626,TRUE
Leeks — Dummies only,shock_2021q4_2023q1,0.013169,0.113625,0.1159,0.9077,-0.209537,0.235875,FALSE
Leeks — Dummies only,post_shock,-0.012316,0.160489,-0.0767,0.9388,-0.326875,0.302244,FALSE
Lettuce — Full xreg,ar1,0.698367,0.048526,14.3916,0,0.603256,0.793478,TRUE
Lettuce — Full xreg,ar2,0.110406,0.048676,2.2682,0.0233,0.015001,0.205812,TRUE
Lettuce — Full xreg,ma1,-0.999999,0.012089,-82.7211,0,-1.023693,-0.976305,TRUE
Lettuce — Full xreg,api_energy_and_lubricants,9.92e-4,8.08e-4,1.227,0.2198,-5.93e-4,0.002576,FALSE
Lettuce — Full xreg,api_fertilisers_and_soil_improvers,-3.4e-5,2.59e-4,-0.1333,0.894,-5.42e-4,4.73e-4,FALSE
Lettuce — Full xreg,api_plant_protection_products,4.41e-4,0.001016,0.434,0.6643,-0.001551,0.002433,FALSE
Lettuce — Full xreg,api_fresh_fruit,0.001199,4.11e-4,2.9173,0.0035,3.94e-4,0.002005,TRUE
Lettuce — Full xreg,api_fresh_vegetables,-4.3e-4,8.48e-4,-0.5067,0.61240000000000006,-0.002091,0.001232,FALSE
Lettuce — Full xreg,fuel_petrol_price,0.00232,0.001567,1.4808,0.1387,-7.51e-4,0.005391,FALSE
Lettuce — Full xreg,fuel_diesel_price,-0.001587,0.001108,-1.4323,0.1521,-0.003758,5.85e-4,FALSE
Lettuce — Full xreg,sppi_road_freight,8.79e-4,0.00138,0.6367,0.5243,-0.001826,0.003584,FALSE
Lettuce — Full xreg,shock_2021q4_2023q1,0.011383,0.029911,0.3806,0.7035,-0.047242,0.070007,FALSE
Lettuce — Full xreg,post_shock,0.045653,0.036721,1.2433,0.2138,-0.02632,0.117626,FALSE
Lettuce — Dummies only,ar1,0.699712,0.048766,14.3484,0,0.604131,0.795293,TRUE
Lettuce — Dummies only,ar2,0.120744,0.048158,2.5073,0.0122,0.026355,0.215134,TRUE
Lettuce — Dummies only,ma1,-0.974056,0.011856,-82.1558,0,-0.997294,-0.950818,TRUE
Lettuce — Dummies only,shock_2021q4_2023q1,0.025318,0.031709,0.7985,0.4246,-0.036831,0.087467,FALSE
Lettuce — Dummies only,post_shock,0.062085,0.041975,1.4791,0.1391,-0.020186,0.144356,FALSE
Pears — Full xreg,ar1,0.779831,0.069288,11.2549,0,0.644026,0.915636,TRUE
Pears — Full xreg,ma1,-1.149972,0.0877,-13.1126,0,-1.321864,-0.978081,TRUE
Pears — Full xreg,ma2,0.329181,0.091522,3.5967,3e-4,0.149797,0.508564,TRUE
Pears — Full xreg,ma3,-0.089458,0.084357,-1.0605,0.2889,-0.254798,0.075882,FALSE
Pears — Full xreg,ma4,-0.089748,0.067552,-1.3286,0.184,-0.22215,0.042655,FALSE
Pears — Full xreg,api_energy_and_lubricants,0.004102,0.003808,1.0773,0.2813,-0.003361,0.011565,FALSE
Pears — Full xreg,api_fertilisers_and_soil_improvers,-6.87e-4,0.001187,-0.5785,0.5629,-0.003013,0.00164,FALSE
Pears — Full xreg,api_plant_protection_products,-0.003214,0.004645,-0.6918,0.4891,-0.012318,0.005891,FALSE
Pears — Full xreg,api_fresh_fruit,2.06e-4,0.001919,0.1075,0.9144,-0.003555,0.003968,FALSE
Pears — Full xreg,api_fresh_vegetables,0.001209,0.003808,0.3174,0.7509,-0.006256,0.008673,FALSE
Pears — Full xreg,fuel_petrol_price,-0.003985,0.006988,-0.5703,0.5685,-0.017682,0.009711,FALSE
Pears — Full xreg,fuel_diesel_price,0.002933,0.005044,0.5815,0.5609,-0.006954,0.01282,FALSE
Pears — Full xreg,sppi_road_freight,0.010537,0.006123,1.721,0.0853,-0.001463,0.022538,FALSE
Pears — Full xreg,shock_2021q4_2023q1,-0.041804,0.132901,-0.3145,0.7531,-0.30229,0.218682,FALSE
Pears — Full xreg,post_shock,-0.076781,0.165586,-0.4637,0.6429,-0.40133,0.247768,FALSE
Pears — Dummies only,ar1,0.756159,0.068176,11.0913,0,0.622534,0.889784,TRUE
Pears — Dummies only,ma1,-1.125389,0.093485,-12.0382,0,-1.30862,-0.942159,TRUE
Pears — Dummies only,ma2,0.302076,0.087719,3.4437,6e-4,0.130147,0.474006,TRUE
Pears — Dummies only,ma3,-0.081235,0.081952,-0.9912,0.3216,-0.241861,0.079392,FALSE
Pears — Dummies only,ma4,-0.095334,0.065404,-1.4576,0.1449,-0.223525,0.032858,FALSE
Pears — Dummies only,shock_2021q4_2023q1,0.174067,0.082221,2.1171,0.0343,0.012913000000000001,0.33522,TRUE
