date,forecast_price
2026-03-01,13.738783687762036
2026-03-08,12.953270984058761
2026-03-15,12.34279335325595
2026-03-22,11.859169007480988
2026-03-29,11.49124555325191
2026-04-05,11.214907028573835
2026-04-12,11.011743552110206
2026-04-19,10.865612359822283
2026-04-26,10.762699317539902
2026-05-03,10.691965025588953
2026-05-10,10.644506963036864
2026-05-17,10.613469289854038
2026-05-24,10.593636356867524
2026-05-31,10.58116697796135
2026-06-07,10.573301732906366
2026-06-14,10.568125986164524
2026-06-21,10.564362543178648
2026-06-28,10.561204185903911
2026-07-05,10.558178983883144
2026-07-12,10.555045860377799
2026-07-19,10.551715323694419
2026-07-26,10.548191122739103
2026-08-02,10.544528605439888
2026-08-09,10.540806147253047
2026-08-16,10.537106508763232
2026-08-23,10.53350553496859
2026-08-30,10.530066105779719
2026-09-06,10.52683569868071
2026-09-13,10.52384630984111
2026-09-20,10.521115802369097
2026-09-27,10.518650011506878
2026-10-04,10.51644514303315
2026-10-11,10.514490159976573
2026-10-18,10.512768971635321
2026-10-25,10.511262325105466
2026-11-01,10.509949359716941
2026-11-08,10.508808824790572
2026-11-15,10.507819985915315
2026-11-22,10.50696325858289
2026-11-29,10.506220613786075
2026-12-06,10.505575800652847
2026-12-13,10.505014428305511
2026-12-20,10.504523944347929
2026-12-27,10.504093541727208
2027-01-03,10.503714019896302
2027-01-10,10.503377620675721
2027-01-17,10.503077854245136
2027-01-24,10.502809326420696
2027-01-31,10.502567574829884
2027-02-07,10.502348918757974
2027-02-14,10.502150325246948
2027-02-21,10.50196929239668
