p,q,aic,bic
1,0,-118.61908733410411,-44.73040612577938
2,0,-111.86108586523898,-22.416892823582714
1,1,-108.61810960639181,-19.17391656473555
2,1,-106.58196654347663,-1.5822616684888544
1,2,-102.63865159577091,2.3610532792168613
2,2,-98.5667804430613,21.988436265258002
0,2,635.3583851888485,724.8025782305048
0,1,766.3173171199569,840.2059983282816
